---
Terrain Height [ft] Valid 1200 BST ~Z75~(1100Z)~Z~ WED 20 Jun 2012 ~Z75~[155hrFcst@1157z]~Z~
Model= RASP Region= UK12+6 Grid= d2 Reskm= 12 Indexs= 1 57 1 90 Proj= lambert 12000 12000 60.0000 60.0000 17.0000 54.5000 -3.5000
Day= 2012 6 20 WED ValidLST= 1200 BST ValidZ= 1100 Fcst= 155.0 Init= 150 Param= wrf=HGT Unit= [ft] Mult= 1 Min= 0 Max= 2192
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 18 0 0 0 19 208 426 323 243 495 949 1389 1492 1254 887 539 300 158 71 43 44 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 35 42 18 0 63 275 445 272 245 633 965 1145 1271 1187 1050 987 689 288 68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 86 39 33 127 257 352 270 205 505 892 1104 1254 1299 1354 1364 989 470 159 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 57 27 31 113 182 268 272 122 212 592 949 1135 1239 1370 1229 820 508 360 268 171 78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 26 18 36 63 119 147 63 77 280 510 658 820 989 881 642 594 649 641 550 356 151 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 41 29 17 0 18 28 0 24 76 117 222 508 827 891 770 796 849 783 749 606 361 180 52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 25 35 75 93 73 39 0 0 0 0 63 321 755 1015 940 858 809 707 674 589 405 226 72 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 7 27 132 253 228 109 32 15 18 27 57 178 442 775 905 759 606 538 481 397 268 146 59 9 5 2 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 8 14 22 135 292 267 138 63 24 24 31 48 96 198 461 683 579 395 318 264 200 131 75 39 22 10 5 2 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 9 18 29 96 181 174 137 114 68 30 21 36 65 109 249 381 326 223 171 137 102 64 61 59 42 23 8 3 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 9 17 29 59 81 87 98 104 78 32 8 18 42 67 121 172 160 131 113 95 74 53 53 65 57 34 12 4 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 8 20 39 49 49 53 54 43 18 4 9 28 46 64 86 89 87 73 58 43 26 21 27 40 35 20 5 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 29 40 40 40 37 26 7 0 0 12 21 31 40 42 39 30 21 12 2 0 4 18 21 19 6 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 15 22 22 24 24 17 4 0 0 1 4 5 6 5 3 0 0 0 0 0 0 10 15 14 4 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 9 9 9 9 6 1 0 0 0 1 2 3 3 3 1 1 0 0 0 0 4 5 5 2 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 2 2 2 2 0 1 0 0 0 0 0 0 0 0 1 2 4 5 6 6 5
